bin,obs,time,deployment,bin_1_distance,cell_length,correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4,driver_timestamp,echo_intensity_beam1,echo_intensity_beam2,echo_intensity_beam3,echo_intensity_beam4,ensemble_number,error_velocity,heading,ingestion_timestamp,internal_timestamp,num_cells,percent_bad_beams,percent_good_3beam,percent_good_4beam,percent_transforms_reject,pitch,port_timestamp,preferred_timestamp,pressure,quality_flag,roll,salinity,sysconfig_vertical_orientation,temperature,transducer_depth,water_velocity_east,water_velocity_north,water_velocity_up,corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4,eastward_seawater_velocity,northward_seawater_velocity,upward_seawater_velocity,error_seawater_velocity,bin_depths,lat,lon
0,0,3731189591.13,7,2432,1600,129,129,128,129,3732270748.77,177,180,176,188,46,6,2893,3732270811.98,3731189400.0,30,0,0,100,0,-45,3731189591.13,port_timestamp,535284,ok,60,35,1,523,5330,-93,-55,-1,79.65,81.0,79.2,84.6,-0.104449857406,-0.027644661109,-0.001,0.006,505.842711359,46.85302,-124.95792
0,1,3731193191.16,7,2432,1600,130,130,126,123,3732270748.78,181,178,165,176,47,-3,2897,3732270811.98,3731193000.0,30,0,0,100,0,-45,3731193191.16,port_timestamp,536241,ok,58,35,1,498,5339,-44,-52,-10,81.45,80.1,74.25,79.2,-0.0564798618681,-0.0380791964642,-0.01,-0.003,506.789333022,46.85302,-124.95792
0,2,3731196794.11,7,2432,1600,130,130,125,132,3732270748.78,166,177,167,183,48,-7,2896,3732270811.98,3731196600.0,30,0,0,100,0,-45,3731196794.11,port_timestamp,537020,ok,59,35,1,500,5347,-27,27,-7,74.7,79.65,75.15,82.35,-0.0186425920413,0.0333234716376,-0.007,-0.007,507.55988183,46.85302,-124.95792
0,3,3731200391.21,7,2432,1600,131,131,126,128,3732270748.79,177,184,169,178,49,15,2894,3732270811.98,3731200200.0,30,0,0,100,0,-45,3731200391.21,port_timestamp,537004,ok,59,35,1,499,5347,28,113,0,79.65,82.8,76.05,80.1,0.0576664662479,0.101131491982,0.0,0.015,507.544055439,46.85302,-124.95792
0,4,3731203991.24,7,2432,1600,133,133,128,132,3732270748.79,176,187,179,185,50,-10,2889,3732270811.98,3731203800.0,30,0,0,100,0,-45,3731203991.24,port_timestamp,537011,ok,59,35,1,494,5347,-36,81,13,79.2,84.15,80.55,83.25,-0.0126227230582,0.0877363485825,0.013,-0.01,507.550979485,46.85302,-124.95792
0,5,3731207591.27,7,2432,1600,130,130,132,135,3732270748.79,179,171,178,184,51,13,2895,3732270811.98,3731207400.0,30,0,0,100,0,-45,3731207591.27,port_timestamp,537340,ok,60,35,1,494,5350,-30,41,-5,80.55,76.95,80.1,82.8,-0.0177234416096,0.0476117592356,-0.005,0.013,507.87640939,46.85302,-124.95792
0,6,3731211191.3,7,2432,1600,136,131,132,129,3732270748.8,184,183,176,181,52,1,2893,3732270811.98,3731211000.0,30,0,0,100,0,-45,3731211191.3,port_timestamp,536688,ok,60,35,1,494,5344,-20,25,5,82.8,82.35,79.2,81.45,-0.0124499867347,0.0294957256277,0.005,0.001,507.231483973,46.85302,-124.95792
0,7,3731214791.32,7,2432,1600,135,133,128,122,3732270748.8,184,184,176,183,53,-31,2893,3732270811.98,3731214600.0,30,0,0,100,0,-45,3731214791.32,port_timestamp,536862,ok,61,35,1,494,5345,-79,14,7,82.8,82.8,79.2,82.35,-0.0722182725238,0.0349502662891,0.007,-0.031,507.403596168,46.85302,-124.95792
0,8,3731218391.52,7,2432,1600,124,135,131,117,3732270748.8,163,189,180,164,54,-23,2892,3732270811.99,3731218200.0,30,0,4,95,0,-45,3731218391.52,port_timestamp,536215,ok,62,35,1,491,5339,-72,6,-5,73.35,85.05,81.0,73.8,-0.0676568760612,0.0253485132038,-0.005,-0.023,506.76361504,46.85302,-124.95792
0,9,3731221991.48,7,2432,1600,127,133,127,129,3732270748.86,169,179,164,190,55,-7,2888,3732270811.99,3731221800.0,30,0,0,100,0,-45,3731221991.48,port_timestamp,535818,ok,63,35,1,491,5335,-37,16,-1,76.05,80.55,73.8,85.5,-0.0312564867144,0.025456473406,-0.001,-0.007,506.370920847,46.85302,-124.95792
0,10,3731225591.5,7,2432,1600,135,134,129,132,3732270748.86,190,187,175,181,56,7,2891,3732270811.99,3731225400.0,30,0,0,100,0,-45,3731225591.5,port_timestamp,535235,ok,64,35,1,490,5329,-48,-4,1,85.5,84.15,78.75,81.45,-0.0472795291662,0.00920033270194,0.001,0.007,505.794242631,46.85302,-124.95792
0,11,3731229191.54,7,2432,1600,126,134,128,131,3732270748.87,170,182,173,188,57,6,2891,3732270811.99,3731229000.0,30,0,0,100,0,-44,3731229191.54,port_timestamp,535603,ok,63,35,1,492,5333,-85,-43,3,76.5,81.9,77.85,84.6,-0.0934887636175,-0.0182715920835,0.003,0.006,506.158252396,46.85302,-124.95792
0,12,3731232791.58,7,2432,1600,129,127,133,131,3732270748.87,175,178,186,183,58,-5,2892,3732270811.99,3731232600.0,30,0,0,100,0,-45,3731232791.58,port_timestamp,535521,ok,63,35,1,499,5332,-91,-36,5,78.75,80.1,83.7,82.35,-0.0973596937083,-0.00990404165149,0.005,-0.005,506.07714158,46.85302,-124.95792
0,13,3731236391.62,7,2432,1600,126,127,130,120,3732270748.87,177,182,176,175,59,-15,2894,3732270811.99,3731236200.0,30,0,0,100,0,-45,3731236391.62,port_timestamp,536306,ok,63,35,1,499,5340,-77,8,1,79.65,81.9,79.2,78.75,-0.0719248123427,0.0286325229323,0.001,-0.015,506.853627961,46.85302,-124.95792
0,14,3731239991.66,7,2432,1600,133,134,129,128,3732270748.88,177,180,190,190,60,-8,2888,3732270811.99,3731239800.0,30,0,0,100,0,-45,3731239991.66,port_timestamp,536994,ok,63,35,1,511,5347,-41,12,-5,79.65,81.0,85.5,85.5,-0.0361932973274,0.0226946079184,-0.005,-0.008,507.534163944,46.85302,-124.95792
0,15,3731243591.97,7,2432,1600,123,126,131,112,3732270748.88,168,173,176,178,61,-10,2885,3732270811.99,3731243400.0,30,0,0,100,0,-45,3731243591.97,port_timestamp,537108,ok,61,35,1,515,5348,2,-9,-7,75.6,77.85,79.2,80.1,-0.000522144240899,-0.00920474689449,-0.007,-0.01,507.646926957,46.85302,-124.95792
0,16,3731247191.75,7,2432,1600,128,127,133,133,3732270748.88,186,187,189,185,62,13,2883,3732270812.0,3731247000.0,30,0,0,100,0,-45,3731247191.75,port_timestamp,537537,ok,62,35,1,516,5352,0,13,-7,83.7,84.15,85.05,83.25,0.00353428582873,0.0125103486634,-0.007,0.013,508.071271428,46.85302,-124.95792
0,17,3731250791.79,7,2432,1600,125,130,112,130,3732270748.89,167,186,164,184,63,21,2886,3732270812.0,3731250600.0,30,0,0,100,0,-45,3731250791.79,port_timestamp,536976,ok,62,35,1,519,5346,25,-47,5,75.15,83.7,73.8,82.8,0.0112805602027,-0.0520264256077,0.005,0.021,507.516359252,46.85302,-124.95792
0,18,3731254391.83,7,2432,1600,109,133,104,134,3732270748.89,171,178,166,190,64,106,2891,3732270812.0,3731254200.0,30,0,0,100,0,-45,3731254391.83,port_timestamp,537007,ok,61,35,1,520,5347,33,-5,14,76.95,80.1,74.7,85.5,0.0303976982115,-0.013783321205,0.014,0.106,507.547022887,46.85302,-124.95792
0,19,3731257991.87,7,2432,1600,123,124,107,118,3732270748.89,174,173,156,175,65,-35,2894,3732270812.0,3731257800.0,30,0,0,100,0,-45,3731257991.87,port_timestamp,536799,ok,62,35,1,518,5345,-54,-88,-1,78.3,77.85,70.2,78.75,-0.075890460058,-0.0700045575101,-0.001,-0.035,507.3412797,46.85302,-124.95792
0,20,3731261591.91,7,2432,1600,125,128,111,129,3732270748.89,170,179,158,191,66,40,2894,3732270812.0,3731261400.0,30,4,6,88,0,-45,3731261591.91,port_timestamp,535612,ok,62,35,1,516,5333,-69,-137,9,76.5,80.55,71.1,85.95,-0.103647016639,-0.113080926516,0.009,0.04,506.1671548,46.85302,-124.95792
0,21,3731265191.95,7,2432,1600,127,127,113,123,3732270748.9,183,188,159,180,67,2,2899,3732270812.0,3731265000.0,30,0,2,97,0,-45,3731265191.95,port_timestamp,535486,ok,62,35,1,503,5332,-8,-193,45,82.35,84.6,71.55,81.0,-0.0601692272502,-0.183555615801,0.045,0.002,506.0425211,46.85302,-124.95792
0,22,3731268792.48,7,2432,1600,126,126,112,128,3732270748.9,179,186,156,188,68,5,2892,3732270812.0,3731268600.0,30,0,0,100,0,-43,3731268792.48,port_timestamp,534498,ok,62,35,1,497,5322,-67,-139,46,80.55,83.7,70.2,84.6,-0.102266083896,-0.115549331823,0.046,0.005,505.065232016,46.85302,-124.95792
1,0,3731189591.13,7,2432,1600,127,129,128,127,3732270748.77,174,185,175,188,46,19,2893,3732270811.98,3731189400.0,30,0,0,100,0,-45,3731189591.13,port_timestamp,535284,ok,60,35,1,523,5330,-50,-132,-12,78.3,83.25,78.75,84.6,-0.0840033201973,-0.113434748626,-0.012,0.019,489.842711359,46.85302,-124.95792
1,1,3731193191.16,7,2432,1600,130,127,129,129,3732270748.78,176,174,169,178,47,16,2897,3732270811.98,3731193000.0,30,0,0,100,0,-45,3731193191.16,port_timestamp,536241,ok,58,35,1,498,5339,-105,-67,-13,79.2,78.3,76.05,80.1,-0.119260289245,-0.0359302575718,-0.013,0.016,490.789333022,46.85302,-124.95792
1,2,3731196794.11,7,2432,1600,123,133,123,124,3732270748.78,162,171,162,168,48,1,2896,3732270811.98,3731196600.0,30,0,0,100,0,-45,3731196794.11,port_timestamp,537020,ok,59,35,1,500,5347,-89,7,-6,72.9,76.95,72.9,75.6,-0.0837446946342,0.0309326061078,-0.006,0.001,491.55988183,46.85302,-124.95792
1,3,3731200391.21,7,2432,1600,131,130,128,133,3732270748.79,177,180,168,178,49,-20,2894,3732270811.98,3731200200.0,30,0,0,100,0,-45,3731200391.21,port_timestamp,537004,ok,59,35,1,499,5347,-38,5,-1,79.65,81.0,75.6,80.1,-0.0352093707744,0.0151426619084,-0.001,-0.02,491.544055439,46.85302,-124.95792
1,4,3731203991.24,7,2432,1600,129,128,132,128,3732270748.79,167,182,176,173,50,7,2889,3732270811.98,3731203800.0,30,0,0,100,0,-45,3731203991.24,port_timestamp,537011,ok,59,35,1,494,5347,-66,66,9,75.15,81.9,79.2,77.85,-0.0455707805455,0.0814573751141,0.009,0.007,491.550979485,46.85302,-124.95792
1,5,3731207591.27,7,2432,1600,129,130,132,130,3732270748.79,172,171,172,180,51,25,2895,3732270811.98,3731207400.0,30,0,0,100,0,-45,3731207591.27,port_timestamp,537340,ok,60,35,1,494,5350,-41,86,-3,77.4,76.95,77.4,81.0,-0.0160750549177,0.0939073618488,-0.003,0.025,491.87640939,46.85302,-124.95792
1,6,3731211191.3,7,2432,1600,128,132,126,134,3732270748.8,175,181,169,180,52,6,2893,3732270811.98,3731211000.0,30,0,0,100,0,-45,3731211191.3,port_timestamp,536688,ok,60,35,1,494,5344,-30,22,8,78.75,81.45,76.05,81.0,-0.0228889362824,0.0293274034967,0.008,0.006,491.231483973,46.85302,-124.95792
1,7,3731214791.32,7,2432,1600,132,132,133,134,3732270748.8,181,180,174,191,53,-65,2893,3732270811.98,3731214600.0,30,0,0,100,0,-45,3731214791.32,port_timestamp,536862,ok,61,35,1,494,5345,-59,46,-10,81.45,81.0,78.3,85.95,-0.0442718017709,0.0603076078779,-0.01,-0.065,491.403596168,46.85302,-124.95792
1,8,3731218391.52,7,2432,1600,129,129,132,131,3732270748.8,172,178,182,178,54,-8,2892,3732270811.99,3731218200.0,30,0,0,100,0,-45,3731218391.52,port_timestamp,536215,ok,62,35,1,491,5339,-71,40,-26,77.4,80.1,81.9,80.1,-0.0574510247658,0.0577960184906,-0.026,-0.008,490.76361504,46.85302,-124.95792
1,9,3731221991.48,7,2432,1600,128,129,132,126,3732270748.86,177,178,172,173,55,-7,2888,3732270811.99,3731221800.0,30,0,0,100,0,-45,3731221991.48,port_timestamp,535818,ok,63,35,1,491,5335,-30,48,-7,79.65,80.1,77.4,77.85,-0.0158203646249,0.0543481008236,-0.007,-0.007,490.370920847,46.85302,-124.95792
1,10,3731225591.5,7,2432,1600,131,131,132,131,3732270748.86,187,190,176,182,56,0,2891,3732270811.99,3731225400.0,30,0,0,100,0,-45,3731225591.5,port_timestamp,535235,ok,64,35,1,490,5329,-34,-4,-3,84.15,85.5,79.2,81.9,-0.0338068459901,0.00539417873254,-0.003,0.0,489.794242631,46.85302,-124.95792
1,11,3731229191.54,7,2432,1600,132,131,131,130,3732270748.87,177,182,178,186,57,12,2891,3732270811.99,3731229000.0,30,0,0,100,0,-44,3731229191.54,port_timestamp,535603,ok,63,35,1,492,5333,-76,-40,1,79.65,81.9,80.1,83.7,-0.0840121485824,-0.0178314018119,0.001,0.012,490.158252396,46.85302,-124.95792
1,12,3731232791.58,7,2432,1600,129,132,129,131,3732270748.87,177,178,173,178,58,-7,2892,3732270811.99,3731232600.0,30,0,0,100,0,-45,3731232791.58,port_timestamp,535521,ok,63,35,1,499,5332,-69,-2,-1,79.65,80.1,77.85,80.1,-0.0669448176488,0.0168342326812,-0.001,-0.007,490.07714158,46.85302,-124.95792
1,13,3731236391.62,7,2432,1600,132,130,124,131,3732270748.87,180,185,168,178,59,-3,2894,3732270811.99,3731236200.0,30,0,0,100,0,-45,3731236391.62,port_timestamp,536306,ok,63,35,1,499,5340,-109,-46,-3,81.0,83.25,75.6,80.1,-0.117400396341,-0.0146337602451,-0.003,-0.003,490.853627961,46.85302,-124.95792
1,14,3731239991.66,7,2432,1600,127,128,130,129,3732270748.88,170,176,182,181,60,-5,2888,3732270811.99,3731239800.0,30,0,0,100,0,-45,3731239991.66,port_timestamp,536994,ok,63,35,1,511,5347,-47,-19,-9,76.5,79.2,81.9,81.45,-0.0503952167637,-0.00550655312731,-0.009,-0.005,491.534163944,46.85302,-124.95792
1,15,3731243591.97,7,2432,1600,134,137,132,125,3732270748.88,174,182,176,165,61,0,2885,3732270811.99,3731243400.0,30,0,0,100,0,-45,3731243591.97,port_timestamp,537108,ok,61,35,1,515,5348,7,-21,-13,78.3,81.9,79.2,74.25,0.0010271106339,-0.0221121017487,-0.013,0.0,491.646926957,46.85302,-124.95792
1,16,3731247191.75,7,2432,1600,132,133,129,124,3732270748.88,185,187,183,176,62,7,2883,3732270812.0,3731247000.0,30,0,0,100,0,-45,3731247191.75,port_timestamp,537537,ok,62,35,1,516,5352,-12,0,-13,83.25,84.15,82.35,79.2,-0.0115480141509,0.00326241768806,-0.013,0.007,492.071271428,46.85302,-124.95792
1,17,3731250791.79,7,2432,1600,131,131,133,128,3732270748.89,171,185,165,177,63,3,2886,3732270812.0,3731250600.0,30,0,0,100,0,-45,3731250791.79,port_timestamp,536976,ok,62,35,1,519,5346,-2,-85,-1,76.95,83.25,74.25,79.65,-0.0250334609822,-0.0812546972873,-0.001,0.003,491.516359252,46.85302,-124.95792
