time,eastward_wind_velocity,northward_wind_velocity
3692329237,-0.430000007,-2.130000114
3692329301,0.090000004,-1.25
3692329365,-0.159999996,-1.399999976
3692329430,-0.090000004,-2.579999924
3692329494,0.49000001,-1.809999943
3692329528,-0.50999999,-1.24000001
3692329592,0.839999974,-2.450000048
3692329657,0.119999997,-3.039999962
3692329721,0.25,-1.25
3692329785,0.930000007,-1.570000052
3692329850,0.579999983,-1.649999976
3692329914,-0.270000011,-1.789999962
3692329948,-0.779999971,-1.669999957
3692330009,-1.519999981,-1.25999999
3692330073,0.920000017,-2.960000038
3692330138,-0.610000014,-2.809999943
3692330203,0.610000014,-1.570000052
3692330268,-0.300000012,-2.230000019
3692330333,-0.579999983,-2.410000086
3692330397,-1.330000043,-1.75
3692330429,-0.189999998,-2.25
3692330494,-0.379999995,-3.019999981
3692330558,-0.709999979,-2.74000001
3692330623,0.74000001,-2.319999933
3692330687,0.01,-1.730000019
3692330751,0.100000001,-1.580000043
3692330816,0.800000012,-1.799999952
3692330849,0.889999986,-1.450000048
3692330915,0.209999993,-1.110000014
3692330979,1.620000005,-1.620000005
3692331043,0.870000005,-1.950000048
3692331108,2.660000086,-1.00999999
3692331172,1.100000024,-2.339999914
3692331237,1.799999952,-2.089999914
3692331269,1.75,-2.099999905
3692331333,1.029999971,-1.210000038
3692331397,1.529999971,-1.169999957
3692331463,0.800000012,-0.330000013
3692331530,1.320000052,-0.870000005
3692331594,0.939999998,-1.409999967
3692331628,0.930000007,-0.790000021
3692331689,1.480000019,-0.479999989
3692331753,0.779999971,-1.629999995
3692331818,1.389999986,-0.860000014
3692331882,1.139999986,-1.659999967
3692331946,1.480000019,-1.610000014
3692332010,1.25999999,-1.950000048
3692332076,0.910000026,-1.460000038
3692332109,0.129999995,-1.049999952
3692332173,1.730000019,-0.569999993
3692332238,1.100000024,-0.419999987
3692332302,1.409999967,-0.670000017
3692332366,0.699999988,-0.49000001
3692332430,1.480000019,-0.579999983
3692332495,1.870000005,-1.600000024
3692332528,0.100000001,-2.380000114
3692332592,-0.140000001,-1.570000052
3692332657,0.109999999,-1.50999999
3692332723,0.730000019,-2.069999933
3692332787,0.379999995,-1.75999999
3692332852,0.200000003,-1.330000043
3692332916,0.270000011,-1.5
3692332948,0.819999993,-1
3692333012,-0.039999999,-0.620000005
3692333077,0.600000024,-0.319999993
3692333141,-0.01,-0.430000007
3692333206,0.400000006,-0.579999983
3692333270,1.899999976,-1.129999995
3692333335,1.350000024,-2.410000086
3692333368,0.860000014,-2.140000105
